CountyName,StateName
Autauga,Alabama
Autauga,Alabama
Autauga,Alabama
Autauga,Alabama
Baldwin,Alabama
Baldwin,Alabama
Baldwin,Alabama
Baldwin,Alabama
Barbour,Alabama
Barbour,Alabama
Barbour,Alabama
Barbour,Alabama
Bibb,Alabama
Bibb,Alabama
Bibb,Alabama
Bibb,Alabama
Blount,Alabama
Blount,Alabama
Blount,Alabama
Blount,Alabama
Bullock,Alabama
Bullock,Alabama
Bullock,Alabama
Bullock,Alabama
Butler,Alabama
Butler,Alabama
Butler,Alabama
Butler,Alabama
Calhoun,Alabama
Calhoun,Alabama
Calhoun,Alabama
Calhoun,Alabama
Chambers,Alabama
Chambers,Alabama
Chambers,Alabama
Chambers,Alabama
Cherokee,Alabama
Cherokee,Alabama
Cherokee,Alabama
Cherokee,Alabama
Chilton,Alabama
Chilton,Alabama
Chilton,Alabama
Chilton,Alabama
Choctaw,Alabama
Choctaw,Alabama
Choctaw,Alabama
Choctaw,Alabama
Clarke,Alabama
Clarke,Alabama
Clarke,Alabama
Clarke,Alabama
Clay,Alabama
Clay,Alabama
Clay,Alabama
Clay,Alabama
Cleburne,Alabama
Cleburne,Alabama
Cleburne,Alabama
Cleburne,Alabama
Coffee,Alabama
Coffee,Alabama
Coffee,Alabama
Coffee,Alabama
Colbert,Alabama
Colbert,Alabama
Colbert,Alabama
Colbert,Alabama
Conecuh,Alabama
Conecuh,Alabama
Conecuh,Alabama
Conecuh,Alabama
Coosa,Alabama
Coosa,Alabama
Coosa,Alabama
Coosa,Alabama
Covington,Alabama
Covington,Alabama
Covington,Alabama
Covington,Alabama
Crenshaw,Alabama
Crenshaw,Alabama
Crenshaw,Alabama
Crenshaw,Alabama
Cullman,Alabama
Cullman,Alabama
Cullman,Alabama
Cullman,Alabama
Dale,Alabama
Dale,Alabama
Dale,Alabama
Dale,Alabama
Dallas,Alabama
Dallas,Alabama
Dallas,Alabama
Dallas,Alabama
DeKalb,Alabama
DeKalb,Alabama
DeKalb,Alabama
DeKalb,Alabama
Elmore,Alabama
Elmore,Alabama
Elmore,Alabama
Elmore,Alabama
Escambia,Alabama
Escambia,Alabama
Escambia,Alabama
Escambia,Alabama
Etowah,Alabama
Etowah,Alabama
Etowah,Alabama
Etowah,Alabama
Fayette,Alabama
Fayette,Alabama
Fayette,Alabama
Fayette,Alabama
Franklin,Alabama
Franklin,Alabama
Franklin,Alabama
Franklin,Alabama
Geneva,Alabama
Geneva,Alabama
Geneva,Alabama
Geneva,Alabama
Greene,Alabama
Greene,Alabama
Greene,Alabama
