CandidateName,Year,StateName,CountyName,Count
Al Gore,2000,Alabama,Autauga,4942
George W. Bush,2000,Alabama,Autauga,11993
Ralph Nader,2000,Alabama,Autauga,160
Other,2000,Alabama,Autauga,113
Al Gore,2000,Alabama,Baldwin,13997
George W. Bush,2000,Alabama,Baldwin,40872
Ralph Nader,2000,Alabama,Baldwin,1033
Other,2000,Alabama,Baldwin,578
Al Gore,2000,Alabama,Barbour,5188
George W. Bush,2000,Alabama,Barbour,5096
Ralph Nader,2000,Alabama,Barbour,46
Other,2000,Alabama,Barbour,65
Al Gore,2000,Alabama,Bibb,2710
George W. Bush,2000,Alabama,Bibb,4273
Ralph Nader,2000,Alabama,Bibb,52
Other,2000,Alabama,Bibb,66
Al Gore,2000,Alabama,Blount,4977
George W. Bush,2000,Alabama,Blount,12667
Ralph Nader,2000,Alabama,Blount,154
Other,2000,Alabama,Blount,175
Al Gore,2000,Alabama,Bullock,3395
George W. Bush,2000,Alabama,Bullock,1433
Ralph Nader,2000,Alabama,Bullock,24
Other,2000,Alabama,Bullock,52
Al Gore,2000,Alabama,Butler,3606
George W. Bush,2000,Alabama,Butler,4127
Ralph Nader,2000,Alabama,Butler,36
Other,2000,Alabama,Butler,34
Al Gore,2000,Alabama,Calhoun,15781
George W. Bush,2000,Alabama,Calhoun,22306
Ralph Nader,2000,Alabama,Calhoun,481
Other,2000,Alabama,Calhoun,341
Al Gore,2000,Alabama,Chambers,5616
George W. Bush,2000,Alabama,Chambers,6037
Ralph Nader,2000,Alabama,Chambers,95
Other,2000,Alabama,Chambers,86
Al Gore,2000,Alabama,Cherokee,3497
George W. Bush,2000,Alabama,Cherokee,4154
Ralph Nader,2000,Alabama,Cherokee,77
Other,2000,Alabama,Cherokee,95
Al Gore,2000,Alabama,Chilton,4806
George W. Bush,2000,Alabama,Chilton,10066
Ralph Nader,2000,Alabama,Chilton,92
Other,2000,Alabama,Chilton,128
Al Gore,2000,Alabama,Choctaw,3707
George W. Bush,2000,Alabama,Choctaw,3600
Ralph Nader,2000,Alabama,Choctaw,33
Other,2000,Alabama,Choctaw,34
Al Gore,2000,Alabama,Clarke,4679
George W. Bush,2000,Alabama,Clarke,5988
Ralph Nader,2000,Alabama,Clarke,33
Other,2000,Alabama,Clarke,52
Al Gore,2000,Alabama,Clay,2045
George W. Bush,2000,Alabama,Clay,3719
Ralph Nader,2000,Alabama,Clay,52
Other,2000,Alabama,Clay,67
Al Gore,2000,Alabama,Cleburne,1664
George W. Bush,2000,Alabama,Cleburne,3333
Ralph Nader,2000,Alabama,Cleburne,39
Other,2000,Alabama,Cleburne,56
Al Gore,2000,Alabama,Coffee,5220
George W. Bush,2000,Alabama,Coffee,9938
Ralph Nader,2000,Alabama,Coffee,155
Other,2000,Alabama,Coffee,121
Al Gore,2000,Alabama,Colbert,10543
George W. Bush,2000,Alabama,Colbert,10518
Ralph Nader,2000,Alabama,Colbert,208
Other,2000,Alabama,Colbert,263
Al Gore,2000,Alabama,Conecuh,2783
George W. Bush,2000,Alabama,Conecuh,2699
Ralph Nader,2000,Alabama,Conecuh,35
Other,2000,Alabama,Conecuh,34
Al Gore,2000,Alabama,Coosa,2104
George W. Bush,2000,Alabama,Coosa,2382
Ralph Nader,2000,Alabama,Coosa,34
Other,2000,Alabama,Coosa,47
Al Gore,2000,Alabama,Covington,4440
George W. Bush,2000,Alabama,Covington,8961
Ralph Nader,2000,Alabama,Covington,123
Other,2000,Alabama,Covington,89
Al Gore,2000,Alabama,Crenshaw,1934
George W. Bush,2000,Alabama,Crenshaw,2793
Ralph Nader,2000,Alabama,Crenshaw,40
Other,2000,Alabama,Crenshaw,28
Al Gore,2000,Alabama,Cullman,9758
George W. Bush,2000,Alabama,Cullman,19157
Ralph Nader,2000,Alabama,Cullman,282
Other,2000,Alabama,Cullman,328
Al Gore,2000,Alabama,Dale,4906
George W. Bush,2000,Alabama,Dale,10593
Ralph Nader,2000,Alabama,Dale,188
Other,2000,Alabama,Dale,119
Al Gore,2000,Alabama,Dallas,10967
George W. Bush,2000,Alabama,Dallas,7360
Ralph Nader,2000,Alabama,Dallas,63
Other,2000,Alabama,Dallas,74
Al Gore,2000,Alabama,DeKalb,7056
George W. Bush,2000,Alabama,DeKalb,12827
Ralph Nader,2000,Alabama,DeKalb,175
Other,2000,Alabama,DeKalb,227
Al Gore,2000,Alabama,Elmore,6652
George W. Bush,2000,Alabama,Elmore,16777
Ralph Nader,2000,Alabama,Elmore,212
Other,2000,Alabama,Elmore,163
Al Gore,2000,Alabama,Escambia,4523
George W. Bush,2000,Alabama,Escambia,6975
Ralph Nader,2000,Alabama,Escambia,78
Other,2000,Alabama,Escambia,84
